% event from 2007-01-30 00:00-01:20 Cluster-4 burst, Ey-SW frame
%  f [Hz]          power [(mV/m)^2/Hz]   
   1.4342993e+01   1.9281217e-05
   1.4398586e+01   1.8294060e-05
   1.4454179e+01   2.1062426e-05
   1.4509772e+01   1.9953678e-05
   1.4565365e+01   1.8577560e-05
   1.4620958e+01   2.1351649e-05
   1.4676551e+01   2.2551426e-05
   1.4732144e+01   1.9936532e-05
   1.4787737e+01   1.9449835e-05
   1.4843330e+01   1.9461756e-05
   1.4898923e+01   1.9165790e-05
   1.4954516e+01   1.8519409e-05
   1.5010109e+01   1.7019432e-05
   1.5065702e+01   1.9209622e-05
   1.5121295e+01   2.4467471e-05
   1.5176888e+01   2.7648236e-05
   1.5232481e+01   2.2561898e-05
   1.5288074e+01   2.0197489e-05
   1.5343667e+01   1.6250207e-05
   1.5399260e+01   1.4249265e-05
   1.5454853e+01   1.7076903e-05
   1.5510446e+01   1.7219148e-05
   1.5566039e+01   1.9381771e-05
   1.5621632e+01   2.9307346e-05
   1.5677225e+01   2.5639138e-05
   1.5732818e+01   1.9371079e-05
   1.5788411e+01   1.9133142e-05
   1.5844004e+01   1.8284650e-05
   1.5899597e+01   1.7088080e-05
   1.5955190e+01   1.6739654e-05
   1.6010783e+01   1.7392519e-05
   1.6066376e+01   1.5899267e-05
   1.6121969e+01   1.4717661e-05
   1.6177562e+01   1.6062504e-05
   1.6233155e+01   1.6530222e-05
   1.6288748e+01   1.7500820e-05
   1.6344341e+01   1.7071561e-05
   1.6399934e+01   1.5643978e-05
   1.6455527e+01   1.6036166e-05
   1.6511120e+01   1.5423679e-05
   1.6566713e+01   1.5378737e-05
   1.6622306e+01   1.5975933e-05
   1.6677899e+01   1.5921234e-05
   1.6733492e+01   1.5864662e-05
   1.6789085e+01   1.6638919e-05
   1.6844678e+01   1.9229513e-05
   1.6900271e+01   1.4643092e-05
   1.6955864e+01   1.6391365e-05
   1.7011457e+01   1.8043257e-05
   1.7067050e+01   1.7379249e-05
   1.7122643e+01   1.3578521e-05
   1.7178236e+01   1.4132262e-05
   1.7233829e+01   1.3697132e-05
   1.7289422e+01   1.4152017e-05
   1.7345015e+01   1.4562125e-05
   1.7400608e+01   1.5341489e-05
   1.7456201e+01   1.4926275e-05
   1.7511794e+01   1.4385625e-05
   1.7567387e+01   1.5109569e-05
   1.7622980e+01   1.5723469e-05
   1.7678573e+01   1.5580353e-05
   1.7734166e+01   1.3510792e-05
   1.7789759e+01   1.4449103e-05
   1.7845352e+01   1.4317039e-05
   1.7900945e+01   1.4513673e-05
   1.7956538e+01   1.4638014e-05
   1.8012131e+01   1.3963697e-05
   1.8067724e+01   1.4387858e-05
   1.8123317e+01   1.4058458e-05
   1.8178910e+01   1.5085703e-05
   1.8234503e+01   1.6769627e-05
   1.8290096e+01   1.5979225e-05
   1.8345689e+01   1.5989507e-05
   1.8401282e+01   2.4167396e-05
   1.8456875e+01   8.0295729e-05
   1.8512468e+01   5.6690728e-05
   1.8568061e+01   1.7376375e-05
   1.8623654e+01   1.3403244e-05
   1.8679247e+01   1.3729161e-05
   1.8734840e+01   1.3951218e-05
   1.8790433e+01   1.4369646e-05
   1.8846026e+01   1.4795619e-05
   1.8901619e+01   3.0003618e-05
   1.8957212e+01   6.2324792e-05
   1.9012805e+01   2.8773982e-05
   1.9068398e+01   1.2075155e-05
   1.9123991e+01   1.2827641e-05
   1.9179584e+01   1.2593369e-05
   1.9235177e+01   1.2822956e-05
   1.9290770e+01   1.2734226e-05
   1.9346363e+01   1.3115085e-05
   1.9401956e+01   1.3175113e-05
   1.9457549e+01   1.3805106e-05
   1.9513142e+01   1.2237162e-05
   1.9568735e+01   1.1920486e-05
   1.9624328e+01   1.3074655e-05
   1.9679921e+01   1.3105050e-05
   1.9735514e+01   1.3653591e-05
   1.9791107e+01   1.2961715e-05
   1.9846700e+01   1.1792379e-05
   1.9902293e+01   1.1915225e-05
   1.9957886e+01   1.2557367e-05
   2.0013479e+01   1.1903551e-05
   2.0069072e+01   1.1856626e-05
   2.0124665e+01   1.1808375e-05
   2.0180258e+01   1.2074075e-05
   2.0235851e+01   1.3480978e-05
   2.0291444e+01   1.4129205e-05
   2.0347037e+01   1.2789024e-05
   2.0402630e+01   1.1279793e-05
   2.0458223e+01   1.4364636e-05
   2.0513816e+01   1.5544910e-05
   2.0569409e+01   1.3985820e-05
   2.0625002e+01   1.2151233e-05
   2.0680595e+01   1.1867177e-05
   2.0736188e+01   1.2390371e-05
   2.0791781e+01   1.3337718e-05
   2.0847374e+01   1.1889296e-05
   2.0902967e+01   1.1331375e-05
   2.0958560e+01   1.1391876e-05
   2.1014153e+01   1.2700371e-05
   2.1069746e+01   1.3623579e-05
   2.1125339e+01   1.1974580e-05
   2.1180932e+01   1.2059176e-05
   2.1236525e+01   1.1858988e-05
   2.1292118e+01   1.2419239e-05
   2.1347711e+01   1.1984960e-05
   2.1403304e+01   1.1323296e-05
   2.1458897e+01   1.0544541e-05
   2.1514490e+01   1.0437120e-05
   2.1570083e+01   9.9388098e-06
   2.1625676e+01   1.0831328e-05
   2.1681269e+01   1.0225376e-05
   2.1736862e+01   1.0487393e-05
   2.1792455e+01   1.1386346e-05
   2.1848048e+01   1.1477315e-05
   2.1903641e+01   1.1721581e-05
   2.1959234e+01   1.3021063e-05
   2.2014827e+01   1.2036544e-05
   2.2070420e+01   1.1420823e-05
   2.2126013e+01   1.1297114e-05
   2.2181606e+01   1.1384714e-05
   2.2237199e+01   1.0877868e-05
   2.2292792e+01   1.1385067e-05
   2.2348385e+01   1.1203432e-05
   2.2403978e+01   1.0144320e-05
   2.2459571e+01   1.1261421e-05
   2.2515164e+01   1.1913254e-05
   2.2570757e+01   1.1869114e-05
   2.2626350e+01   1.2225889e-05
   2.2681943e+01   1.3515819e-05
   2.2737536e+01   1.0950716e-05
   2.2793129e+01   1.1265456e-05
   2.2848722e+01   1.1886822e-05
   2.2904315e+01   1.1277350e-05
   2.2959908e+01   1.1252861e-05
   2.3015501e+01   1.0940549e-05
   2.3071094e+01   1.0267544e-05
   2.3126687e+01   1.1251791e-05
   2.3182280e+01   1.1063756e-05
   2.3237873e+01   1.0321471e-05
   2.3293466e+01   1.0288616e-05
   2.3349059e+01   1.0906550e-05
   2.3404652e+01   1.0375668e-05
   2.3460245e+01   1.0352880e-05
   2.3515838e+01   1.0706131e-05
   2.3571431e+01   1.1148093e-05
   2.3627024e+01   1.2764172e-05
   2.3682617e+01   3.3175306e-05
   2.3738210e+01   2.5221261e-05
   2.3793803e+01   1.0610157e-05
   2.3849396e+01   1.0148459e-05
   2.3904989e+01   1.0978300e-05
   2.3960582e+01   1.0256941e-05
   2.4016175e+01   1.0122513e-05
   2.4071768e+01   1.0758614e-05
   2.4127361e+01   1.6403376e-05
   2.4182954e+01   3.4476287e-05
   2.4238547e+01   1.7361710e-05
   2.4294140e+01   1.0110968e-05
   2.4349733e+01   1.0136933e-05
   2.4405326e+01   1.0310615e-05
   2.4460919e+01   1.0799641e-05
   2.4516512e+01   1.0042810e-05
   2.4572105e+01   8.9567212e-06
   2.4627698e+01   8.9434020e-06
   2.4683291e+01   1.0445960e-05
   2.4738884e+01   1.4338035e-05
   2.4794477e+01   1.3247135e-05
   2.4850070e+01   1.1153266e-05
   2.4905663e+01   1.2036061e-05
   2.4961256e+01   1.1772525e-05
   2.5016849e+01   1.0169182e-05
   2.5072442e+01   9.7748878e-06
   2.5128035e+01   9.2156121e-06
   2.5183628e+01   1.0549271e-05
   2.5239221e+01   1.3063887e-05
   2.5294814e+01   1.0061866e-05
   2.5350407e+01   9.8320747e-06
   2.5406000e+01   9.1396072e-06
   2.5461593e+01   9.2261042e-06
   2.5517186e+01   9.0834143e-06
   2.5572779e+01   8.7493262e-06
   2.5628372e+01   9.0930317e-06
   2.5683965e+01   9.7615600e-06
   2.5739558e+01   1.0697308e-05
   2.5795151e+01   1.5643077e-05
   2.5850744e+01   1.7526160e-05
   2.5906337e+01   2.1189010e-05
   2.5961930e+01   1.9732407e-05
   2.6017523e+01   1.0823416e-05
   2.6073116e+01   9.3222360e-06
   2.6128709e+01   1.0166927e-05
   2.6184302e+01   9.6331639e-06
   2.6239895e+01   8.9467765e-06
   2.6295488e+01   8.8265574e-06
   2.6351081e+01   9.0294681e-06
   2.6406674e+01   8.4628594e-06
   2.6462267e+01   7.6049765e-06
   2.6517860e+01   8.5759287e-06
   2.6573453e+01   9.3858978e-06
   2.6629046e+01   1.0203357e-05
   2.6684639e+01   9.4792230e-06
   2.6740232e+01   9.0717852e-06
   2.6795825e+01   9.4997071e-06
   2.6851418e+01   9.9799362e-06
   2.6907011e+01   9.2048310e-06
   2.6962604e+01   7.6721357e-06
   2.7018197e+01   8.4381541e-06
   2.7073790e+01   9.4922512e-06
   2.7129383e+01   1.0370272e-05
   2.7184976e+01   9.4094510e-06
   2.7240569e+01   8.2067229e-06
   2.7296162e+01   8.4543516e-06
   2.7351755e+01   8.9075997e-06
   2.7407348e+01   1.0201364e-05
   2.7462941e+01   8.0517344e-06
   2.7518534e+01   7.2989895e-06
   2.7574127e+01   8.0015446e-06
   2.7629720e+01   1.0094996e-05
   2.7685313e+01   9.0236217e-06
   2.7740906e+01   7.7523949e-06
   2.7796499e+01   7.7549333e-06
   2.7852092e+01   8.5070418e-06
   2.7907685e+01   9.4479267e-06
   2.7963278e+01   8.5841982e-06
   2.8018871e+01   7.8449191e-06
   2.8074464e+01   8.1550108e-06
   2.8130057e+01   8.2605741e-06
   2.8185650e+01   8.6936601e-06
   2.8241243e+01   8.9568798e-06
   2.8296836e+01   9.7234034e-06
   2.8352429e+01   9.3761903e-06
   2.8408022e+01   7.9980089e-06
   2.8463615e+01   8.0661587e-06
   2.8519208e+01   8.2629800e-06
   2.8574801e+01   7.0375827e-06
   2.8630394e+01   7.8988035e-06
   2.8685987e+01   8.6323971e-06
   2.8741580e+01   8.6605964e-06
   2.8797173e+01   8.5724109e-06
   2.8852766e+01   7.5613599e-06
   2.8908359e+01   7.9723166e-06
   2.8963952e+01   8.8160500e-06
   2.9019545e+01   1.3072620e-05
   2.9075138e+01   2.7798954e-05
   2.9130731e+01   2.5519868e-05
   2.9186324e+01   1.3015693e-05
   2.9241917e+01   8.5188603e-06
   2.9297510e+01   8.4685787e-06
   2.9353103e+01   7.9000127e-06
   2.9408696e+01   7.2402184e-06
   2.9464289e+01   8.3395115e-06
   2.9519882e+01   8.8467243e-06
   2.9575475e+01   7.7337386e-06
   2.9631068e+01   7.1278432e-06
   2.9686661e+01   8.6098694e-06
   2.9742254e+01   1.0251494e-05
   2.9797847e+01   9.1152444e-06
   2.9853440e+01   7.7099048e-06
   2.9909033e+01   7.7731244e-06
   2.9964626e+01   8.6221198e-06
   3.0020219e+01   8.1136374e-06
   3.0075812e+01   7.8687355e-06
   3.0131405e+01   8.0963743e-06
   3.0186998e+01   7.7420362e-06
   3.0242591e+01   8.8970252e-06
   3.0298184e+01   8.4661181e-06
   3.0353777e+01   8.1006203e-06
   3.0409370e+01   8.1493793e-06
   3.0464963e+01   8.0084248e-06
   3.0520556e+01   8.4164415e-06
   3.0576149e+01   7.7124093e-06
   3.0631742e+01   7.8184761e-06
   3.0687335e+01   8.2904347e-06
   3.0742928e+01   7.9375834e-06
   3.0798521e+01   8.9146769e-06
   3.0854114e+01   8.3239517e-06
   3.0909707e+01   7.9449956e-06
   3.0965300e+01   8.8616229e-06
   3.1020893e+01   7.9903600e-06
   3.1076486e+01   7.4909072e-06
   3.1132079e+01   7.9434077e-06
   3.1187672e+01   9.0294855e-06
   3.1243265e+01   9.3136032e-06
   3.1298858e+01   8.8463291e-06
   3.1354451e+01   7.4705771e-06
   3.1410044e+01   8.2931343e-06
   3.1465637e+01   7.8625922e-06
   3.1521230e+01   7.2034682e-06
   3.1576823e+01   7.1807472e-06
   3.1632416e+01   7.1191762e-06
   3.1688009e+01   8.0173112e-06
   3.1743602e+01   7.4705291e-06
   3.1799195e+01   7.6628846e-06
   3.1854788e+01   7.8639468e-06
   3.1910381e+01   7.8729088e-06
   3.1965974e+01   8.4011071e-06
   3.2021567e+01   7.6661324e-06
   3.2077160e+01   8.0179584e-06
   3.2132753e+01   9.3026012e-06
   3.2188346e+01   7.7030374e-06
   3.2243939e+01   7.5572294e-06
   3.2299532e+01   8.5188358e-06
   3.2355125e+01   7.6486510e-06
   3.2410718e+01   7.6418509e-06
   3.2466311e+01   7.6886836e-06
   3.2521904e+01   7.0533546e-06
   3.2577497e+01   8.8906954e-06
   3.2633090e+01   9.1565236e-06
   3.2688683e+01   7.1852456e-06
   3.2744276e+01   8.3143128e-06
   3.2799869e+01   7.4041873e-06
   3.2855462e+01   6.8865030e-06
   3.2911055e+01   7.7980215e-06
   3.2966648e+01   7.1009749e-06
   3.3022241e+01   6.9589823e-06
   3.3077834e+01   8.4869451e-06
   3.3133427e+01   8.2302775e-06
   3.3189020e+01   7.3347848e-06
   3.3244613e+01   6.9354532e-06
   3.3300206e+01   7.0144688e-06
   3.3355799e+01   7.2223431e-06
   3.3411392e+01   7.3191227e-06
   3.3466985e+01   7.0934986e-06
   3.3522578e+01   7.2512404e-06
   3.3578171e+01   7.5603075e-06
   3.3633764e+01   7.2245457e-06
   3.3689357e+01   7.7610912e-06
   3.3744950e+01   7.9168325e-06
   3.3800543e+01   2.0965003e-05
   3.3856136e+01   1.1486933e-04
   3.3911729e+01   6.7298281e-05
   3.3967322e+01   8.7196313e-06
   3.4022915e+01   7.9313636e-06
   3.4078508e+01   8.4634580e-06
   3.4134101e+01   8.7070166e-06
   3.4189694e+01   8.5524819e-06
   3.4245287e+01   8.3669107e-06
   3.4300880e+01   3.3865834e-05
   3.4356473e+01   7.5188630e-05
   3.4412066e+01   2.2222542e-05
   3.4467659e+01   8.7569700e-06
   3.4523252e+01   8.6267891e-06
   3.4578845e+01   8.3659968e-06
   3.4634438e+01   7.4601342e-06
   3.4690031e+01   7.4682448e-06
   3.4745624e+01   9.9795995e-06
   3.4801217e+01   8.1672757e-06
   3.4856810e+01   7.1920873e-06
   3.4912403e+01   6.9750126e-06
   3.4967996e+01   7.2440428e-06
   3.5023589e+01   7.0835611e-06
   3.5079182e+01   7.2899400e-06
   3.5134775e+01   6.8050272e-06
   3.5190368e+01   7.5630122e-06
   3.5245961e+01   1.1461078e-05
   3.5301554e+01   8.5675931e-06
   3.5357147e+01   7.2471495e-06
   3.5412740e+01   6.7388772e-06
   3.5468333e+01   7.6110413e-06
   3.5523926e+01   9.1630607e-06
   3.5579519e+01   7.7824984e-06
   3.5635112e+01   7.4648127e-06
   3.5690705e+01   7.2115608e-06
   3.5746298e+01   7.2655949e-06
   3.5801891e+01   6.9510528e-06
   3.5857484e+01   6.8271348e-06
   3.5913077e+01   7.0775725e-06
   3.5968670e+01   8.0511455e-06
   3.6024263e+01   7.6776420e-06
   3.6079856e+01   7.3964908e-06
   3.6135449e+01   6.5614403e-06
   3.6191042e+01   7.1619228e-06
   3.6246635e+01   7.5428796e-06
   3.6302228e+01   8.5660850e-06
   3.6357821e+01   8.0242495e-06
   3.6413414e+01   7.4443121e-06
   3.6469007e+01   7.1061510e-06
   3.6524600e+01   7.3067261e-06
   3.6580193e+01   7.0346822e-06
   3.6635786e+01   7.3818557e-06
   3.6691379e+01   7.2280533e-06
   3.6746972e+01   7.4384572e-06
   3.6802565e+01   7.8251707e-06
   3.6858158e+01   7.9101019e-06
   3.6913751e+01   7.6333060e-06
   3.6969344e+01   7.1008009e-06
   3.7024937e+01   6.8583367e-06
   3.7080530e+01   7.2580228e-06
   3.7136123e+01   7.4409377e-06
   3.7191716e+01   7.4889417e-06
   3.7247309e+01   8.4317951e-06
   3.7302902e+01   7.9913217e-06
   3.7358495e+01   8.0360868e-06
   3.7414088e+01   7.8901023e-06
   3.7469680e+01   8.1907065e-06
   3.7525273e+01   7.8893191e-06
   3.7580866e+01   8.0412704e-06
   3.7636459e+01   8.6277901e-06
   3.7692052e+01   8.8099999e-06
   3.7747645e+01   7.7089662e-06
   3.7803238e+01   7.3710825e-06
   3.7858831e+01   7.4159608e-06
   3.7914424e+01   7.1506338e-06
   3.7970017e+01   7.1654611e-06
   3.8025610e+01   6.6390988e-06
   3.8081203e+01   7.9326765e-06
   3.8136796e+01   1.3167145e-05
   3.8192389e+01   1.5394992e-05
   3.8247982e+01   9.5978440e-06
   3.8303575e+01   8.3212758e-06
   3.8359168e+01   8.5871390e-06
   3.8414761e+01   7.9686188e-06
   3.8470354e+01   7.1890277e-06
   3.8525947e+01   7.0729018e-06
   3.8581540e+01   7.5207392e-06
   3.8637133e+01   7.9906836e-06
   3.8692726e+01   6.3842274e-06
   3.8748319e+01   7.0646516e-06
   3.8803912e+01   7.2553350e-06
   3.8859505e+01   6.9313272e-06
   3.8915098e+01   7.0015331e-06
