% event from 2007-01-30 00:00-01:20 Cluster-4 burst, Ey
%  f [Hz]          power [(mV/m)^2/Hz]   
   1.6455527e+01   8.5688829e-06
   1.6511120e+01   9.1497652e-06
   1.6566713e+01   8.9017312e-06
   1.6622306e+01   8.6085959e-06
   1.6677899e+01   7.9064167e-06
   1.6733492e+01   8.1369028e-06
   1.6789085e+01   7.8280097e-06
   1.6844678e+01   7.5909153e-06
   1.6900271e+01   7.7120390e-06
   1.6955864e+01   8.2472686e-06
   1.7011457e+01   8.9947940e-06
   1.7067050e+01   9.8360104e-06
   1.7122643e+01   8.6793352e-06
   1.7178236e+01   7.7745662e-06
   1.7233829e+01   7.7871984e-06
   1.7289422e+01   8.5300344e-06
   1.7345015e+01   9.2897150e-06
   1.7400608e+01   9.3142871e-06
   1.7456201e+01   8.4057124e-06
   1.7511794e+01   7.9180552e-06
   1.7567387e+01   8.2971724e-06
   1.7622980e+01   8.4126748e-06
   1.7678573e+01   8.7637589e-06
   1.7734166e+01   8.2405413e-06
   1.7789759e+01   7.9744540e-06
   1.7845352e+01   7.5834369e-06
   1.7900945e+01   8.6719760e-06
   1.7956538e+01   8.9973661e-06
   1.8012131e+01   7.7671019e-06
   1.8067724e+01   7.4838474e-06
   1.8123317e+01   8.0552457e-06
   1.8178910e+01   8.2048794e-06
   1.8234503e+01   9.2571437e-06
   1.8290096e+01   9.3818106e-06
   1.8345689e+01   9.8164897e-06
   1.8401282e+01   2.0831612e-05
   1.8456875e+01   7.4317632e-05
   1.8512468e+01   4.6764601e-05
   1.8568061e+01   1.0877702e-05
   1.8623654e+01   7.8643267e-06
   1.8679247e+01   8.0792186e-06
   1.8734840e+01   7.9184143e-06
   1.8790433e+01   9.0654940e-06
   1.8846026e+01   8.4192860e-06
   1.8901619e+01   2.6398281e-05
   1.8957212e+01   5.4886553e-05
   1.9012805e+01   2.2036310e-05
   1.9068398e+01   8.1752294e-06
   1.9123991e+01   8.1594625e-06
   1.9179584e+01   8.6002188e-06
   1.9235177e+01   8.5884502e-06
   1.9290770e+01   8.2036250e-06
   1.9346363e+01   8.1415902e-06
   1.9401956e+01   8.4800464e-06
   1.9457549e+01   8.7321740e-06
   1.9513142e+01   7.7593704e-06
   1.9568735e+01   7.4522626e-06
   1.9624328e+01   7.5743168e-06
   1.9679921e+01   7.7471101e-06
   1.9735514e+01   8.8146912e-06
   1.9791107e+01   7.9130453e-06
   1.9846700e+01   6.7761826e-06
   1.9902293e+01   7.0547971e-06
   1.9957886e+01   7.3065565e-06
   2.0013479e+01   7.2117970e-06
   2.0069072e+01   7.6967334e-06
   2.0124665e+01   7.9759928e-06
   2.0180258e+01   8.1848371e-06
   2.0235851e+01   8.2312458e-06
   2.0291444e+01   8.8009540e-06
   2.0347037e+01   8.3439650e-06
   2.0402630e+01   7.9511736e-06
   2.0458223e+01   9.5922591e-06
   2.0513816e+01   1.0660818e-05
   2.0569409e+01   9.0773779e-06
   2.0625002e+01   8.5218831e-06
   2.0680595e+01   7.5852692e-06
   2.0736188e+01   7.6650398e-06
   2.0791781e+01   9.1780005e-06
   2.0847374e+01   8.1062610e-06
   2.0902967e+01   8.0208373e-06
   2.0958560e+01   8.5908104e-06
   2.1014153e+01   8.3771243e-06
   2.1069746e+01   8.5966936e-06
   2.1125339e+01   8.1306406e-06
   2.1180932e+01   8.3930638e-06
   2.1236525e+01   7.9283367e-06
   2.1292118e+01   7.6304695e-06
   2.1347711e+01   7.8890302e-06
   2.1403304e+01   7.3095399e-06
   2.1458897e+01   7.2180653e-06
   2.1514490e+01   7.8997781e-06
   2.1570083e+01   7.0598176e-06
   2.1625676e+01   8.0684087e-06
   2.1681269e+01   7.5954488e-06
   2.1736862e+01   7.4422875e-06
   2.1792455e+01   7.1866491e-06
   2.1848048e+01   7.2687646e-06
   2.1903641e+01   7.5787921e-06
   2.1959234e+01   8.6486922e-06
   2.2014827e+01   8.3555493e-06
   2.2070420e+01   8.1080568e-06
   2.2126013e+01   7.9273194e-06
   2.2181606e+01   8.0086202e-06
   2.2237199e+01   7.9994236e-06
   2.2292792e+01   8.4562787e-06
   2.2348385e+01   7.8658345e-06
   2.2403978e+01   7.3934676e-06
   2.2459571e+01   7.9429747e-06
   2.2515164e+01   8.3420171e-06
   2.2570757e+01   8.0303415e-06
   2.2626350e+01   9.1246304e-06
   2.2681943e+01   9.5698990e-06
   2.2737536e+01   8.0256264e-06
   2.2793129e+01   8.2118600e-06
   2.2848722e+01   8.5232549e-06
   2.2904315e+01   7.5993193e-06
   2.2959908e+01   7.7963748e-06
   2.3015501e+01   7.9446204e-06
   2.3071094e+01   7.8215921e-06
   2.3126687e+01   7.9154180e-06
   2.3182280e+01   7.6544958e-06
   2.3237873e+01   7.2954091e-06
   2.3293466e+01   7.1527557e-06
   2.3349059e+01   7.5810752e-06
   2.3404652e+01   7.5438428e-06
   2.3460245e+01   7.7009145e-06
   2.3515838e+01   8.4314920e-06
   2.3571431e+01   8.3097526e-06
   2.3627024e+01   1.0627976e-05
   2.3682617e+01   3.2470224e-05
   2.3738210e+01   2.3040408e-05
   2.3793803e+01   7.4273904e-06
   2.3849396e+01   7.4186691e-06
   2.3904989e+01   7.7711010e-06
   2.3960582e+01   7.8425508e-06
   2.4016175e+01   7.6306349e-06
   2.4071768e+01   7.9572607e-06
   2.4127361e+01   1.4356999e-05
   2.4182954e+01   3.4525804e-05
   2.4238547e+01   1.5147935e-05
   2.4294140e+01   7.3506557e-06
   2.4349733e+01   7.4060534e-06
   2.4405326e+01   6.6334952e-06
   2.4460919e+01   7.7962923e-06
   2.4516512e+01   7.7933442e-06
   2.4572105e+01   6.8583938e-06
   2.4627698e+01   6.9868915e-06
   2.4683291e+01   7.7897022e-06
   2.4738884e+01   1.1681727e-05
   2.4794477e+01   1.0988569e-05
   2.4850070e+01   8.3162912e-06
   2.4905663e+01   8.2259093e-06
   2.4961256e+01   9.1184447e-06
   2.5016849e+01   8.4542870e-06
